cpu_usage,memory_usage,error_rate,response_time,failure
23.63,51.62,11.99,137.67,0
36.9,30.98,5.11,1707.8,0
79.76,34.06,7.6,3547.99,1
86.67,84.5,1.44,4322.65,1
21.5,93.69,17.24,2921.22,1
76.76,53.42,2.3,202.2,0
84.11,69.45,16.64,4606.87,1
87.56,39.47,11.78,2667.42,1
44.82,47.16,6.66,923.85,0
29.12,60.8,18.12,1811.94,1
85.52,85.2,4.73,817.58,0
68.19,80.82,13.11,968.02,1
59.53,80.36,15.2,2299.64,1
65.16,70.82,12.49,4334.81,1
32.08,25.46,8.84,1583.82,0
24.49,60.59,6.21,2314.38,0
86.54,26.14,17.29,4290.94,1
60.57,57.02,11.09,3979.91,1
55.98,84.79,13.04,1675.48,1
32.07,24.95,2.07,4505.72,0
77.15,60.36,3.45,1313.94,0
55.15,61.82,3.17,1926.97,0
52.7,47.07,11.96,3967.21,1
25.27,27.56,13.57,1492.32,0
72.53,92.51,17.47,1733.47,1
31.31,47.99,19.35,3522.55,1
67.6,95.04,6.19,1945.73,1
85.05,73.61,16.58,3720.0,1
62.11,71.68,8.47,1872.96,0
34.42,37.14,18.95,2482.73,0
31.01,26.17,16.89,595.59,0
86.81,90.69,0.75,1750.15,1
30.48,50.14,3.24,4173.59,0
84.72,33.24,8.75,2113.21,0
39.0,55.54,5.7,3767.83,0
62.72,44.76,16.17,2398.18,1
49.43,95.77,19.69,2362.23,1
50.55,62.2,19.33,4102.77,1
31.07,40.0,12.82,4383.17,0
28.21,87.67,17.02,1496.81,1
41.82,92.42,2.95,2243.62,0
37.76,56.09,6.99,230.68,0
60.16,38.86,19.89,1937.07,1
94.47,87.13,13.0,3977.77,1
42.95,86.38,13.92,780.08,1
55.89,20.42,1.58,1354.03,0
63.9,78.18,10.56,644.82,0
44.09,23.82,8.4,3990.11,0
28.87,92.41,11.93,180.53,0
39.36,31.49,8.58,3112.57,0
53.33,73.15,1.71,4875.81,0
62.08,60.59,19.77,2815.34,1
57.61,70.85,19.62,1342.89,1
83.08,47.58,14.66,3178.46,1
78.81,46.6,0.89,2775.47,0
34.01,82.33,9.29,3507.41,1
84.92,25.05,15.52,2342.63,1
23.5,35.96,0.84,4673.52,0
99.13,63.44,5.07,3791.13,1
48.56,82.47,17.32,1726.43,1
49.44,91.16,14.87,4483.72,1
97.9,59.7,9.95,4629.12,1
84.09,78.17,1.58,3052.02,1
63.64,45.7,1.6,3338.5,0
68.21,54.09,13.8,1822.58,0
89.6,48.2,19.96,1445.32,1
95.83,26.0,12.75,1880.22,1
74.35,96.22,2.86,3077.11,1
22.78,25.38,15.57,1895.01,0
65.38,68.41,13.58,4749.24,1
81.05,65.91,10.59,2050.37,1
39.97,29.08,14.71,2545.32,0
64.93,40.94,5.21,2286.74,0
42.85,93.32,9.82,700.92,0
56.16,91.89,8.9,530.17,0
87.64,45.57,6.95,418.2,0
91.31,88.11,14.24,4643.89,1
83.5,60.7,2.43,1084.8,0
83.23,22.1,11.08,1907.66,1
64.13,68.96,1.72,1615.52,0
77.51,62.06,15.38,4134.36,1
97.79,71.39,9.0,3432.53,1
90.24,82.42,12.8,991.62,1
54.61,92.86,1.11,708.39,0
33.17,45.81,14.19,1795.51,0
91.59,87.67,5.01,3211.78,1
30.01,44.23,10.67,2562.61,0
95.33,32.34,13.17,3631.1,1
87.4,65.09,16.5,239.03,1
71.32,66.14,13.02,3858.1,1
71.12,59.84,12.54,1519.39,1
58.64,84.38,13.7,1557.43,1
24.79,55.17,9.69,1099.71,0
45.01,77.47,14.68,4317.81,1
30.46,49.64,11.23,1663.67,0
41.4,39.83,1.94,1522.04,0
69.23,39.86,17.31,882.53,0
66.21,45.02,15.26,2541.5,1
59.9,44.68,0.46,4731.64,0
97.33,37.21,7.06,347.65,0
90.59,72.34,9.41,2729.78,1
54.47,90.6,14.55,3842.9,1
52.05,65.62,3.89,2810.79,0
60.34,81.15,5.59,4946.54,1
29.5,98.01,7.88,3995.0,1
95.12,80.4,3.98,2594.7,1
23.62,30.96,6.66,2421.35,0
68.5,61.24,6.56,3104.03,0
99.25,79.15,5.98,1748.23,1
62.59,76.7,6.0,4097.17,1
73.9,98.39,11.67,4004.1,1
75.04,22.13,9.49,4838.65,1
82.09,66.21,14.43,2959.26,1
70.32,69.58,16.82,824.1,1
22.53,95.86,2.2,192.79,0
32.11,75.24,8.21,3897.36,1
89.83,78.87,1.25,776.6,0
46.0,72.98,10.51,1637.39,0
92.97,47.39,7.09,3882.75,1
71.46,75.47,12.2,1042.09,1
64.65,37.99,19.46,1558.31,1
36.58,76.4,6.34,1809.14,0
83.63,41.88,2.44,3415.45,0
98.41,85.47,19.09,4042.62,1
43.01,77.13,6.93,2267.64,0
58.33,36.17,10.77,4671.82,1
30.98,69.25,11.74,1288.04,0
62.48,71.04,1.05,2125.18,0
28.04,81.66,0.1,2796.73,0
52.55,94.8,17.57,2439.5,1
97.11,45.69,12.92,4548.89,1
65.93,62.81,14.46,4689.68,1
34.01,90.58,3.52,4606.21,1
51.76,59.63,18.73,4814.44,1
90.14,20.74,11.36,625.77,0
42.76,99.13,10.87,2520.17,1
88.08,57.44,3.86,651.97,0
56.71,40.58,3.72,3709.43,0
65.42,80.58,3.51,4295.12,1
86.16,61.22,1.73,3379.35,0
31.25,45.89,4.96,1377.85,0
80.3,96.32,6.04,3642.12,1
72.29,75.42,1.24,679.3,0
52.43,60.2,17.9,3547.43,1
29.39,93.29,5.9,3111.66,0
30.69,32.25,14.95,3068.12,0
63.94,57.67,10.75,3354.06,1
39.8,80.38,17.46,501.16,1
76.3,26.25,11.28,402.61,0
60.44,65.82,3.0,1707.78,0
29.3,36.43,11.66,545.61,0
84.7,56.27,10.26,2338.31,1
56.99,84.55,14.47,2040.15,1
79.66,66.26,0.91,1788.19,0
99.53,94.77,1.38,4675.5,1
52.71,81.52,15.32,4893.83,1
53.63,99.43,7.65,4361.14,1
50.05,74.62,13.24,2742.57,1
47.82,34.28,10.75,2691.33,0
37.82,20.28,0.45,1561.98,0
63.56,62.55,16.47,1312.81,1
42.05,94.99,14.5,652.94,1
53.54,81.28,17.68,176.66,1
28.07,22.69,11.96,3546.1,0
79.24,52.18,4.69,1164.62,0
24.52,60.31,5.79,4097.35,0
45.51,67.83,13.45,1671.26,0
31.46,72.82,4.42,1572.45,0
95.88,90.38,18.23,3167.37,1
59.65,97.78,18.83,3389.58,1
45.5,53.31,2.98,1944.65,0
57.88,87.95,6.01,3567.13,1
93.18,64.99,19.36,2830.71,1
39.43,36.27,12.93,4618.91,1
27.4,77.97,3.81,1415.46,0
68.23,89.89,3.76,3832.31,1
64.71,58.35,17.39,1731.53,1
21.23,94.97,19.24,674.85,1
58.31,39.41,12.09,1102.11,0
64.17,82.04,7.61,2714.89,1
40.92,61.03,9.95,583.18,0
57.56,87.18,18.29,1916.45,1
65.0,37.7,2.92,1377.79,0
66.33,53.41,3.05,1716.34,0
86.67,59.94,13.09,3455.75,1
85.73,97.32,12.83,2503.92,1
83.6,33.54,14.41,2492.75,1
63.37,71.34,1.17,265.74,0
95.62,73.46,15.29,2120.72,1
38.51,76.57,0.18,2578.09,0
69.43,73.34,12.33,2467.7,1
20.53,64.13,0.24,2694.15,0
98.2,21.37,16.26,3402.76,1
92.78,28.56,1.93,829.6,0
62.12,85.22,5.35,2044.79,0
52.48,65.2,19.8,1206.7,1
87.83,72.3,17.16,3821.97,1
50.34,64.22,1.12,146.31,0
59.99,54.71,15.69,2872.7,1
27.63,62.25,0.85,1135.94,0
91.0,58.04,0.93,464.31,0
91.94,65.08,0.66,4650.96,1
96.92,66.96,15.05,3592.29,1
26.15,33.0,4.81,4189.79,0
91.72,46.54,15.11,785.76,1
77.93,60.06,19.49,363.11,1
87.09,47.25,15.38,4778.81,1
81.88,22.37,5.47,4963.67,1
48.46,95.29,8.64,3430.5,1
26.86,69.49,15.96,3594.23,1
32.34,76.93,12.68,3724.31,1
28.52,20.42,6.17,1863.6,0
30.6,34.99,8.98,2818.23,0
22.1,48.31,1.86,3030.41,0
50.82,43.35,7.76,515.03,0
92.42,98.25,11.44,930.96,1
31.11,44.09,9.86,410.01,0
53.69,58.74,1.54,1333.33,0
70.0,67.5,3.91,624.16,0
95.91,46.58,12.4,4039.97,1
46.78,85.24,17.19,4873.7,1
45.65,95.78,4.02,1639.5,0
97.5,43.32,13.9,2505.94,1
39.39,50.08,16.33,2025.38,0
65.11,67.38,10.91,3440.39,1
96.24,56.93,14.17,2248.43,1
75.43,85.52,15.91,2104.79,1
70.67,39.36,13.17,3604.66,1
25.92,99.26,9.58,2063.94,0
93.63,75.34,10.87,3974.53,1
91.64,62.95,12.76,516.41,1
72.61,48.4,12.94,317.05,1
74.2,51.97,15.05,4832.01,1
20.84,40.7,10.21,2642.11,0
66.02,55.66,7.82,3884.48,1
60.04,47.6,0.49,612.29,0
96.94,29.29,18.81,794.21,1
56.43,36.55,9.66,2433.2,0
75.74,45.51,6.01,4069.91,0
87.93,71.84,13.54,905.34,1
39.51,33.96,3.2,2843.26,0
38.55,52.4,3.69,3238.35,0
22.34,69.13,3.95,3001.8,0
76.38,36.46,15.05,4062.78,1
28.14,89.76,3.74,1697.33,0
40.99,89.01,10.55,3231.63,1
68.9,66.96,6.96,4243.04,1
85.1,76.48,5.95,3110.97,1
30.72,29.43,6.11,996.92,0
60.87,53.46,2.76,1980.18,0
70.84,75.47,12.91,4999.51,1
59.17,31.22,6.29,2309.9,0
48.72,20.77,2.73,4094.56,0
60.44,59.6,13.69,2136.59,1
59.1,26.61,0.62,3829.18,0
41.99,63.01,3.36,2340.87,0
81.27,63.98,2.26,659.61,0
85.86,49.35,16.45,303.89,1
63.71,99.18,2.05,4167.35,1
43.82,99.95,8.99,1808.03,1
55.13,99.52,15.51,1261.04,1
67.03,48.05,14.22,3200.58,1
31.14,36.53,4.14,390.85,0
42.49,63.1,6.47,3549.86,0
41.39,88.64,19.71,3428.57,1
97.02,82.86,18.38,4963.18,1
30.15,89.29,4.99,3585.83,1
80.92,74.1,9.79,2929.39,1
53.14,56.16,12.67,4412.61,1
61.25,42.26,18.73,1908.45,1
46.18,20.2,15.48,3690.35,1
56.68,73.13,7.16,410.32,0
37.43,54.37,4.24,1415.83,0
47.02,66.23,11.32,2478.16,0
74.6,23.87,1.99,3941.06,0
29.94,88.61,8.83,103.31,0
36.19,75.09,2.64,3284.99,0
94.62,41.92,13.09,1326.91,1
92.3,33.24,7.93,1597.0,0
38.73,72.44,14.07,105.32,0
30.62,38.1,13.6,145.51,0
85.37,99.05,8.45,747.66,1
50.65,78.46,2.05,1635.42,0
30.97,81.88,15.06,752.42,1
31.43,62.44,0.17,3285.1,0
77.79,70.25,3.03,2117.38,1
88.8,26.94,2.01,3786.98,0
50.72,97.06,6.29,785.17,0
26.74,64.27,12.0,3077.21,0
75.24,87.83,13.17,1578.08,1
60.76,79.83,5.91,367.39,0
96.37,59.59,2.25,2547.95,1
62.26,98.22,19.74,4676.23,1
88.87,65.47,7.31,3446.42,1
96.36,81.63,0.33,430.91,0
23.19,24.84,15.79,2582.39,0
60.08,53.23,14.04,503.9,0
69.28,42.2,6.2,2605.39,0
84.64,62.91,7.81,3208.04,1
74.48,25.29,13.97,3676.8,1
24.63,26.9,8.69,2321.52,0
44.74,79.34,14.81,685.27,1
76.12,33.11,19.06,2662.73,1
77.66,33.36,2.54,3927.51,0
90.91,81.71,0.59,4054.83,1
25.11,76.99,11.53,477.64,0
48.81,59.97,11.34,1901.67,0
28.23,65.91,14.46,1219.18,0
23.52,89.03,4.89,2411.65,0
32.01,94.49,17.15,2809.04,1
79.25,53.55,6.44,2139.66,1
41.7,26.23,7.46,2560.0,0
34.35,84.35,19.63,4774.99,1
57.21,42.58,16.9,1703.77,1
20.64,36.05,11.28,1589.16,0
57.11,67.34,9.87,3885.8,1
92.04,80.84,4.9,131.25,0
38.64,47.71,16.79,4398.27,1
20.12,72.58,16.98,3663.35,1
62.39,39.05,9.84,393.49,0
76.93,27.44,18.43,4496.71,1
76.07,49.8,19.49,516.02,1
30.68,85.6,1.5,2882.32,0
97.14,38.94,5.22,1643.54,0
76.06,78.83,6.36,1432.58,0
36.22,82.39,11.69,861.51,0
57.28,52.52,10.72,4826.71,1
44.66,41.2,2.4,872.32,0
86.11,75.75,0.81,4196.03,1
27.3,39.86,7.11,2615.95,0
40.81,99.25,0.62,2081.52,0
79.85,39.99,9.24,4039.09,1
20.96,86.43,19.65,740.5,1
49.78,70.42,12.89,2953.39,1
85.02,21.74,1.29,4522.23,0
30.3,92.41,16.59,1724.59,1
56.88,33.44,11.48,4126.26,1
22.36,74.66,3.46,1152.11,0
42.39,90.67,0.69,3133.97,0
43.61,52.96,11.01,398.8,0
30.98,35.96,17.69,2676.49,0
84.17,83.59,19.79,3931.39,1
63.56,58.77,18.25,2561.73,1
34.39,45.51,4.38,4489.25,0
24.69,99.32,10.59,3857.53,1
97.92,28.01,13.14,1405.98,1
93.38,24.47,19.93,1175.12,1
83.79,48.38,16.78,4241.58,1
67.4,84.5,13.95,4578.5,1
76.04,95.8,11.27,2859.23,1
99.04,90.53,9.84,1614.36,1
27.22,38.61,4.38,2679.6,0
93.43,36.12,2.61,3612.99,1
87.54,45.89,0.44,2974.38,0
81.95,87.72,17.21,4806.74,1
95.35,51.65,2.02,1578.65,0
32.6,95.9,15.84,4807.24,1
33.94,97.5,13.87,4651.34,1
37.86,67.12,3.51,1603.43,0
30.19,78.31,18.98,4748.62,1
99.54,97.21,0.65,3051.7,1
97.4,37.67,11.31,4689.77,1
79.63,39.04,19.65,922.65,1
27.1,76.72,12.78,4444.6,1
41.22,39.96,1.36,1357.62,0
20.1,50.87,14.65,4848.6,1
59.45,50.3,10.92,597.0,0
89.12,72.08,13.74,897.02,1
87.66,43.59,6.37,4763.14,1
33.61,50.04,14.64,2780.53,1
27.45,67.52,12.27,2465.41,0
95.4,33.2,17.8,869.81,1
36.44,35.2,13.94,3637.99,0
41.22,42.52,4.75,343.21,0
87.19,32.29,7.22,2195.27,0
72.96,68.02,3.99,226.1,0
43.34,26.55,16.88,1610.93,0
59.13,72.88,1.82,2766.22,0
90.84,49.55,8.92,1390.15,1
38.1,41.48,1.23,3785.95,0
26.86,47.5,10.83,4856.46,0
64.29,87.26,16.37,2151.3,1
89.35,57.99,17.63,2433.69,1
92.22,77.14,10.04,4512.23,1
74.2,69.62,2.41,3810.22,0
98.75,97.77,16.17,718.31,1
99.06,54.83,19.95,3173.41,1
40.63,92.86,18.28,428.36,1
51.79,46.09,5.52,2344.97,0
82.92,69.84,10.45,2156.01,1
31.86,67.03,15.17,4704.28,1
65.01,28.08,5.72,2724.6,0
52.87,50.64,9.71,3083.91,0
42.03,31.51,12.17,3498.94,0
91.17,46.52,4.75,3754.17,1
91.76,21.62,16.35,1584.97,1
59.33,75.69,1.96,4357.61,0
97.94,55.45,16.52,1420.16,1
71.64,35.03,4.23,4137.45,0
80.76,89.38,16.42,2624.82,1
44.89,60.54,2.71,4271.35,0
22.32,35.42,16.66,4201.19,0
56.52,93.44,14.09,1442.49,1
60.41,70.83,2.48,249.76,0
67.52,34.21,17.41,2975.71,1
33.08,91.56,14.98,3475.37,1
50.93,33.03,11.45,4828.1,1
71.79,74.22,5.38,2106.59,0
82.42,81.41,0.18,4566.43,1
68.09,20.68,5.05,4044.92,0
97.36,71.42,8.48,1944.73,1
40.16,57.34,13.54,4139.12,1
28.18,60.92,13.25,4232.09,1
71.79,68.72,5.97,629.71,0
99.07,71.25,17.23,1379.62,1
91.39,43.9,3.0,3850.82,1
84.43,84.19,12.0,3336.6,1
77.7,72.43,19.95,1371.19,1
51.06,22.83,14.16,2903.01,0
78.12,37.79,10.69,3946.0,1
73.75,60.59,16.91,4219.13,1
34.49,27.81,2.56,1367.39,0
81.03,34.65,13.59,1744.6,0
48.42,79.54,6.14,3961.64,1
40.84,43.52,17.02,2405.63,1
66.69,95.54,1.42,4458.19,1
89.4,50.53,5.97,364.9,0
30.99,36.02,8.18,2890.08,0
56.61,45.31,14.31,3916.81,1
70.48,34.15,12.69,123.1,0
80.9,33.49,15.29,2498.93,1
27.04,69.16,12.67,2076.63,0
50.67,23.02,3.99,1928.2,0
45.78,86.66,3.81,3416.07,1
39.91,75.48,6.89,731.76,0
67.09,33.36,16.48,1561.19,0
78.23,67.71,6.76,4451.07,1
47.42,92.11,7.19,1023.29,0
93.46,52.27,4.57,3663.13,1
78.73,67.18,3.38,1896.3,0
22.99,90.12,5.12,2720.19,0
99.57,72.96,13.07,196.73,1
53.34,50.42,10.95,2424.54,0
75.62,70.42,6.02,3342.16,1
41.6,68.45,2.74,4170.2,0
77.5,29.42,2.28,620.69,0
35.98,41.04,10.46,1088.2,0
43.63,23.15,9.93,1117.7,0
46.45,20.22,13.43,4543.71,1
73.52,31.93,1.8,2607.36,0
28.1,40.47,4.62,4944.46,0
57.14,27.98,3.49,293.28,0
84.13,45.02,14.77,565.49,1
23.67,88.16,13.27,935.51,0
55.02,69.74,17.57,555.46,1
34.63,52.06,19.25,1431.98,0
88.05,83.99,12.98,4004.86,1
75.69,24.69,18.85,881.04,1
67.26,84.18,13.57,988.18,1
48.69,22.31,13.69,4208.83,1
30.45,93.63,2.26,2115.29,0
40.93,45.14,14.09,3421.85,1
66.13,65.2,19.56,3382.24,1
61.85,76.05,1.9,3342.39,0
47.66,74.1,7.7,4211.26,1
99.02,24.37,12.87,868.94,1
88.15,89.55,1.5,2509.08,1
97.61,24.03,4.45,3252.25,0
38.8,56.73,16.03,2295.68,1
55.77,29.5,9.95,3301.53,0
52.99,64.57,0.0,545.39,0
69.53,44.37,10.17,1113.57,0
96.03,49.07,1.09,1192.3,0
64.81,69.58,9.46,3320.12,1
29.12,80.75,4.43,1772.65,0
97.15,43.36,10.44,3540.27,1
33.13,31.24,14.34,3635.64,0
68.87,35.0,18.6,2025.19,1
82.51,77.34,2.16,2130.9,1
87.0,67.1,15.44,2307.47,1
96.5,30.77,9.98,2698.79,1
94.82,87.11,9.66,2590.83,1
34.18,66.28,14.61,729.07,0
68.04,90.62,10.08,1984.85,1
93.27,80.99,5.47,4821.61,1
56.23,30.67,8.25,3530.07,0
43.91,76.12,17.21,3588.18,1
70.61,36.07,12.48,1523.84,0
73.79,98.51,13.0,4795.8,1
75.54,45.79,2.31,1825.97,0
65.65,73.37,8.35,3764.56,1
42.87,87.78,16.17,2661.38,1
31.63,73.62,4.0,3775.91,0
42.93,40.04,16.79,3483.91,1
80.29,22.58,16.28,602.15,1
79.16,89.19,14.85,2850.23,1
82.74,83.91,5.75,3356.02,1
51.0,96.54,19.52,1632.0,1
21.04,40.11,12.41,3926.53,0
86.4,92.92,14.09,3273.4,1
63.73,68.27,15.52,4825.02,1
34.19,74.61,3.74,951.6,0
50.18,54.28,11.13,737.33,0
40.4,46.45,14.19,858.55,0
45.81,24.07,18.65,3116.48,1
59.24,65.81,7.16,3941.75,1
37.6,34.71,1.36,2575.19,0
62.96,27.36,4.42,1145.43,0
